time [ms],B1 [uT]
-0.133133133133133+0i,-0.578273046007131+0.138421952022702i
-0.131131131131131+0i,-0.593731536934314-0.116503432235613i
-0.129129129129129+0i,-0.500002551166539-0.358825339929947i
-0.127127127127127+0i,-0.310709944638154-0.543152788263266i
-0.125125125125125+0i,-0.057732841411121-0.633356526301237i
-0.123123123123123+0i,0.214145382424353-0.609626588052218i
-0.121121121121121+0i,0.455180308658057-0.472699503341076i
-0.119119119119119+0i,0.619790320398959-0.244371019649683i
-0.117117117117117+0i,0.675183556803502+0.035916637219059i
-0.115115115115115+0i,0.607853671817567+0.317890800122566i
-0.113113113113113+0i,0.426663232143694+0.549489625464045i
-0.111111111111111+0i,0.161838570451497+0.686498201907745i
-0.109109109109109+0i,-0.140050736496732+0.700991589699136i
-0.107107107107107+0i,-0.424298584936209+0.586971886839624i
-0.105105105105105+0i,-0.638005999470278+0.362069722317473i
-0.103103103103103+0i,-0.739948848147025+0.06488896145102i
-0.101101101101101+0i,-0.708524622430315-0.251620992151738i
-0.0990990990990991+0i,-0.546246927519601-0.529627473474544i
-0.0970970970970971+0i,-0.279865034089139-0.717015416056524i
-0.0950950950950951+0i,0.044017938311194-0.777177519477761i
-0.0930930930930931+0i,0.367116273463974-0.696150709907609i
